"Name","Vorname","Fraktion","2017","2018","2019","2020","2021","Gesamt"
"Komning","Enrico","AfD","262000","338500","262000","240500","66500","1169500"
"Chrupalla","Tino","AfD","24000","166500","151500","78500","0","420500"
"Neumann","Christoph","AfD","3500","30000","15000","57000","8000","113500"
"Felser","Peter","AfD","4000","24000","24000","24000","10000","86000"
"Pohl","Jürgen","AfD","1000","23000","31500","9500","0","65000"
"Renner","Martin Erwin","AfD","2000","12000","12000","12000","5000","43000"
"Bernhard","Marc","AfD","14000","14000","7000","0","0","35000"
"Oehme","Ulrich","AfD","7000","7000","7000","7000","0","28000"
"Schlund","Dr. Robby","AfD","7000","7000","7000","7000","0","28000"
"Reichardt","Martin","AfD","2000","12000","12000","0","0","26000"
"Keuter","Stefan","AfD","0","7000","17500","1000","0","25500"
"Müller","Hansjörg","AfD","0","15000","7000","0","0","22000"
"Heßenkemper","Prof. Dr. Heiko","AfD","2000","10000","7000","0","0","19000"
"Magnitz","Frank","AfD","0","15000","0","0","0","15000"
"Weidel","Dr. Alice","AfD","0","0","0","15000","0","15000"
"Friedhoff","Dietmar","AfD","9000","3000","0","0","0","12000"
"Brandner","Stephan","AfD","3500","7000","0","0","0","10500"
"Spaniel","Dr. Dirk","AfD","7000","0","0","0","0","7000"
"Wiehle","Wolfgang","AfD","0","7000","0","0","0","7000"
"Wirth","Dr. Christian","AfD","5500","0","0","0","0","5500"
"Braun","Jürgen","AfD","0","0","1000","0","0","1000"
"Bleck","Andreas","AfD","0","0","0","0","0","0"
"Boehringer","Peter","AfD","0","0","0","0","0","0"
"Büttner","Matthias","AfD","0","0","0","0","0","0"
"Cotar","Joana","AfD","0","0","0","0","0","0"
"Droese","Siegbert","AfD","0","0","0","0","0","0"
"Ehrhorn","Thomas","AfD","0","0","0","0","0","0"
"Frömming","Dr. Götz","AfD","0","0","0","0","0","0"
"Gehrke","Prof. Dr. Axel","AfD","0","0","0","0","0","0"
"Glaser","Albrecht","AfD","0","0","0","0","0","0"
"Gottberg","Wilhelm von","AfD","0","0","0","0","0","0"
"Hampel","Armin-Paulus","AfD","0","0","0","0","0","0"
"Harder-Kühnel","Mariana Iris","AfD","0","0","0","0","0","0"
"Hartwig","Dr. Roland","AfD","0","0","0","0","0","0"
"Haug","Jochen","AfD","0","0","0","0","0","0"
"Hemmelgarn","Udo Theodor","AfD","0","0","0","0","0","0"
"Herdt","Waldemar","AfD","0","0","0","0","0","0"
"Höchst","Nicole","AfD","0","0","0","0","0","0"
"Hollnagel","Dr. Bruno","AfD","0","0","0","0","0","0"
"Huber","Johannes","AfD","0","0","0","0","0","0"
"Jongen","Dr. Marc","AfD","0","0","0","0","0","0"
"Kestner","Jens","AfD","0","0","0","0","0","0"
"Kleinwächter","Norbert","AfD","0","0","0","0","0","0"
"König","Jörn","AfD","0","0","0","0","0","0"
"Kotré","Steffen","AfD","0","0","0","0","0","0"
"Kraft","Dr. Rainer","AfD","0","0","0","0","0","0"
"Miazga","Corinna","AfD","0","0","0","0","0","0"
"Mrosek","Andreas","AfD","0","0","0","0","0","0"
"Münz","Volker","AfD","0","0","0","0","0","0"
"Münzenmaier","Sebastian","AfD","0","0","0","0","0","0"
"Nolte","Jan Ralf","AfD","0","0","0","0","0","0"
"Peterka","Tobias Matthias","AfD","0","0","0","0","0","0"
"Podolay","Paul Viktor","AfD","0","0","0","0","0","0"
"Protschka","Stephan","AfD","0","0","0","0","0","0"
"Seitz","Thomas","AfD","0","0","0","0","0","0"
"Storch","Beatrix von","AfD","0","0","0","0","0","0"
"Weyel","Prof. Dr. Harald","AfD","0","0","0","0","0","0"
"Wildberg","Dr. Heiko","AfD","0","0","0","0","0","0"
"Brehm","Sebastian","CDU/CSU","248500","1486000","1514000","1759000","146500","5154000"
"Marwitz","Hans-Georg von der","CDU/CSU","180000","688500","906000","709500","230500","2714500"
"Stegemann","Albert","CDU/CSU","303000","428000","371000","372000","283500","1757500"
"Ramsauer","Dr. Peter","CDU/CSU","50000","319000","391500","230000","81500","1072000"
"Gutting","Olav","CDU/CSU","150000","250000","250000","150000","0","1025000"
"Röring","Johannes","CDU/CSU","162000","392000","105500","35000","10000","704500"
"Schmidt (Fürth)","Christian","CDU/CSU","28000","168000","168000","120000","20000","504000"
"Irmer","Hans-Jürgen","CDU/CSU","0","78500","261000","100000","0","439500"
"Henke","Rudolf","CDU/CSU","28000","133000","129500","85000","52500","428000"
"Maizière","Dr. Thomas de","CDU/CSU","0","35000","157500","172000","46000","410500"
"Loos","Bernhard","CDU/CSU","30000","84000","84000","84000","75000","357000"
"Güntzler","Fritz","CDU/CSU","13000","78000","97500","78000","32500","299000"
"Kruse","Rüdiger","CDU/CSU","14000","84000","85000","70000","0","253000"
"Michelbach","Dr. h. c. (Univ Kyiv) Hans","CDU/CSU","250000","0","0","0","0","250000"
"Straubinger","Max","CDU/CSU","15000","108000","110500","8000","0","249500"
"Throm","Alexander","CDU/CSU","7000","42000","92000","72000","17500","230500"
"Ziemiak","Paul","CDU/CSU","0","0","84000","84000","35000","203000"
"Friedrich (Hof)","Dr. Hans-Peter","CDU/CSU","14000","49000","57000","58000","18500","196500"
"Schmidtke","Prof. Dr. Claudia","CDU/CSU","37000","57000","42000","42000","17500","195500"
"Rief","Josef","CDU/CSU","59000","122500","0","0","0","181500"
"Wadephul","Dr. Johann David","CDU/CSU","6500","37000","49000","57000","9500","159000"
"Kauder","Volker","CDU/CSU","7000","42000","49000","42000","17500","157500"
"Kartes","Torbjörn","CDU/CSU","7000","42000","42000","42000","17500","150500"
"Heider","Dr. Matthias","CDU/CSU","22000","22000","40500","40500","7000","132000"
"Marschall","Matern von","CDU/CSU","2000","27000","27000","62000","12000","130000"
"Pfeiffer","Dr. Joachim","CDU/CSU","7000","42000","57000","18000","0","124000"
"Rehberg","Eckhardt","CDU/CSU","30000","30000","30000","30000","0","120000"
"Hirte","Prof. Dr. Heribert","CDU/CSU","10000","34000","28000","22000","13000","107000"
"Hahn","Florian","CDU/CSU","2000","13000","32000","42000","17500","106500"
"Seif","Detlef","CDU/CSU","0","22000","26500","26500","24500","99500"
"Lange","Ulrich","CDU/CSU","1000","17500","31000","24500","23500","97500"
"Vaatz","Arnold","CDU/CSU","5000","35500","22000","21000","7500","91000"
"Auernhammer","Artur","CDU/CSU","0","30000","30000","30000","0","90000"
"Beyer","Peter","CDU/CSU","4000","24000","24000","24000","10000","86000"
"Färber","Hermann","CDU/CSU","4000","24000","24000","24000","10000","86000"
"Hennrich","Michael","CDU/CSU","9000","19000","24500","26000","5000","83500"
"Röttgen","Dr. Norbert","CDU/CSU","18500","22000","29000","10500","3500","83500"
"Ludwig","Daniela","CDU/CSU","0","10000","11500","42000","17500","81000"
"Radwan","Alexander","CDU/CSU","4000","24000","24000","18000","5000","75000"
"Brackmann","Norbert","CDU/CSU","9000","19000","19000","19000","5000","71000"
"Willsch","Klaus-Peter","CDU/CSU","5000","33500","8500","10500","12000","69500"
"Körber","Carsten","CDU/CSU","0","0","15000","49500","5500","69000"
"Henrichmann","Marc","CDU/CSU","15000","30000","15000","7000","1000","68000"
"Steffel","Frank","CDU/CSU","15000","15000","15000","15000","0","60000"
"Stetten","Christian Freiherr von","CDU/CSU","0","15000","30000","15000","0","60000"
"Vogel (Kleinsaara)","Volkmar","CDU/CSU","15000","15000","15000","15000","0","60000"
"Weisgerber","Dr. Anja","CDU/CSU","2000","12000","12000","31500","0","57500"
"Luczak","Dr. Jan-Marco","CDU/CSU","2000","12000","15500","20000","5000","54500"
"Kaufmann","Dr. Stefan","CDU/CSU","2000","12000","12000","19000","5000","50000"
"Kuffer","Michael","CDU/CSU","9000","12000","12000","12000","5000","50000"
"Frieser","Michael","CDU/CSU","2000","12000","13000","13000","5000","45000"
"Pilsinger","Stephan","CDU/CSU","2000","12000","13000","13000","5000","45000"
"Grotelüschen","Astrid","CDU/CSU","2000","12000","12000","12000","5000","43000"
"Grübel","Markus","CDU/CSU","2000","12000","12000","12000","5000","43000"
"Heil","Mechthild","CDU/CSU","2000","12000","12000","12000","5000","43000"
"Kühne","Dr. Roy","CDU/CSU","2000","12000","12000","12000","5000","43000"
"Mattfeldt","Andreas","CDU/CSU","2000","12000","12000","12000","5000","43000"
"Monstadt","Dietrich","CDU/CSU","2000","12000","12000","12000","5000","43000"
"Selle","Johannes","CDU/CSU","2000","12000","12000","12000","5000","43000"
"Sensburg","Prof. Dr. Patrick","CDU/CSU","2000","12000","12000","12000","5000","43000"
"Weiler","Albert H.","CDU/CSU","2000","12000","12000","12000","5000","43000"
"Schreiner","Felix","CDU/CSU","2000","12000","12000","12000","2000","40000"
"Müller (Braunschweig)","Carsten","CDU/CSU","0","3500","30000","4500","0","38000"
"Scheuer","Andreas","CDU/CSU","14000","21000","0","0","0","35000"
"Thies","Hans-Jürgen","CDU/CSU","7000","7000","7000","10500","3500","35000"
"Amthor","Philipp","CDU/CSU","2000","11000","12000","6000","0","31000"
"Albani","Stephan","CDU/CSU","4000","22000","0","4500","0","30500"
"Bareiß","Thomas","CDU/CSU","15000","15000","0","0","0","30000"
"Riebsamen","Lothar","CDU/CSU","0","0","0","30000","0","30000"
"Rupprecht","Albert","CDU/CSU","0","0","0","30000","0","30000"
"Middelberg","Dr. Mathias","CDU/CSU","7000","7000","7000","7000","0","28000"
"Müller","Sepp","CDU/CSU","7000","7000","7000","7000","0","28000"
"Rüddel","Erwin","CDU/CSU","3500","7000","7000","3500","0","21000"
"Grundmann","Oliver","CDU/CSU","0","15000","0","0","0","15000"
"Hauer","Matthias","CDU/CSU","0","3500","3500","4500","3500","15000"
"Maag","Karin","CDU/CSU","2000","3000","3000","5500","1000","14500"
"Vieregge","Kerstin","CDU/CSU","2000","11000","0","0","0","13000"
"Karl","Alois","CDU/CSU","7000","0","0","0","3500","10500"
"Manderla","Gisela","CDU/CSU","0","0","0","4000","6000","10000"
"Mayer (Altötting)","Stephan","CDU/CSU","5500","3000","0","0","0","8500"
"Brodesser","Dr. Carsten","CDU/CSU","0","0","3500","3500","1000","8000"
